Phrase,Meaning,Example,Source
fold,を折る,,[Leap]見出し番号 641
hang,をかける,,[Leap]見出し番号 642
release,を解放する,,[Leap]見出し番号 643
strike,を打つ,,[Leap]見出し番号 644
beat,を打つ,,[Leap]見出し番号 645
protect,を守る,,[Leap]見出し番号 646
twist,を曲げる,,[Leap]見出し番号 647
skip,をサボる,,[Leap]見出し番号 648
expose,をさらす,,[Leap]見出し番号 649
stir,を混ぜる,,[Leap]見出し番号 650
shake,振る,,[Leap]見出し番号 651
polish,を磨く,,[Leap]見出し番号 652
attend,に出席する,,[Leap]見出し番号 653
imitate,を真似る,,[Leap]見出し番号 654
conduct,を行う,,[Leap]見出し番号 655
struggle,苦闘する,,[Leap]見出し番号 656
burn,焼ける,,[Leap]見出し番号 657
cheat,ごまかす,,[Leap]見出し番号 658
participate,参加する,,[Leap]見出し番号 659
exist,存在する,,[Leap]見出し番号 660
arise,生じる,,[Leap]見出し番号 661
occur,生じる,,[Leap]見出し番号 662
involve,巻き込まれる,,[Leap]見出し番号 663
require,を必要とする,,[Leap]見出し番号 664
counterpart,対応する人,,[Leap]見出し番号 665
advent,到来,,[Leap]見出し番号 666
maintain,を維持する,,[Leap]見出し番号 667
last,続く,,[Leap]見出し番号 668
persist,持続する,,[Leap]見出し番号 669
examine,を調査する,,[Leap]見出し番号 670
gain,を増す,,[Leap]見出し番号 671
obtain,を得る,,[Leap]見出し番号 672
acquire,を習得する,,[Leap]見出し番号 673
search,を探す,,[Leap]見出し番号 674
logical,論理的な,,[Leap]見出し番号 675
scholarship,奨学金,,[Leap]見出し番号 676
instruction,指示,,[Leap]見出し番号 677
determine,を決める,,[Leap]見出し番号 678
conclude,と結論をくだす,,[Leap]見出し番号 679
distinguish,を区別する,,[Leap]見出し番号 680
classify,を分類する,,[Leap]見出し番号 681
estimate,を推定する,,[Leap]見出し番号 682
organize,をまとめる,,[Leap]見出し番号 683
recognize,が誰だか分かる,,[Leap]見出し番号 684
suppose,することになっている,,[Leap]見出し番号 685
assume,と思い込む,,[Leap]見出し番号 686
care,気にする,,[Leap]見出し番号 687
approve,認める,,[Leap]見出し番号 688
notice,に気がついている,,[Leap]見出し番号 689
aware,気づいている,,[Leap]見出し番号 690
conscious,意識している,,[Leap]見出し番号 691
concerned,関心を持っている,,[Leap]見出し番号 692
regard,をみなす,,[Leap]見出し番号 693
commit,に専念する,,[Leap]見出し番号 694
doubt,を疑う,,[Leap]見出し番号 695
memorize,を暗記する,,[Leap]見出し番号 696
forgive,を許す,,[Leap]見出し番号 697
grant,を当然のことと思う,,[Leap]見出し番号 698
recall,を思い出す,,[Leap]見出し番号 699
outlook,考え方,,[Leap]見出し番号 700
perspective,視点,,[Leap]見出し番号 701
abandon,を捨てる,,[Leap]見出し番号 702
eliminate,を排除する,,[Leap]見出し番号 703
rid,を処分する,,[Leap]見出し番号 704
remove,を取り除く,,[Leap]見出し番号 705
resource,資源,,[Leap]見出し番号 706
conservation,保護,,[Leap]見出し番号 707
preserve,を保護する,,[Leap]見出し番号 708
disaster,災害,,[Leap]見出し番号 709
planet,惑星,,[Leap]見出し番号 710
environment,環境,,[Leap]見出し番号 711
horizon,水平線,,[Leap]見出し番号 712
layer,層,,[Leap]見出し番号 713
agriculture,農業,,[Leap]見出し番号 714
crop,作物,,[Leap]見出し番号 715
soil,土,,[Leap]見出し番号 716
weed,雑草,,[Leap]見出し番号 717
pollen,花粉,,[Leap]見出し番号 718
drown,おぼれ死ぬ,,[Leap]見出し番号 719
leak,漏れる,,[Leap]見出し番号 720
climate,気候,,[Leap]見出し番号 721
atmosphere,大気,,[Leap]見出し番号 722
forecast,予報,,[Leap]見出し番号 723
humid,湿気が多い,,[Leap]見出し番号 724
tropical,熱帯の,,[Leap]見出し番号 725
solar,太陽の,,[Leap]見出し番号 726
species,種,,[Leap]見出し番号 727
pesticide,殺虫剤,,[Leap]見出し番号 728
extinct,絶滅した,,[Leap]見出し番号 729
feed,に餌を与える,,[Leap]見出し番号 730
energetic,活発な,,[Leap]見出し番号 731
greedy,貪欲な,,[Leap]見出し番号 732
brave,勇敢な,,[Leap]見出し番号 733
generous,気前の良い,,[Leap]見出し番号 734
intellectual,知的な,,[Leap]見出し番号 735
curious,好奇心が強い,,[Leap]見出し番号 736
imaginative,想像力豊かな,,[Leap]見出し番号 737
afford,する余裕がある,,[Leap]見出し番号 738
eager,熱心な,,[Leap]見出し番号 739
selfish,利己的な,,[Leap]見出し番号 740
aggressive,攻撃的な,,[Leap]見出し番号 741
cruel,残酷な,,[Leap]見出し番号 742
addicted,の中毒になっている,,[Leap]見出し番号 743
stubborn,頑固な,,[Leap]見出し番号 744
bold,大胆な,,[Leap]見出し番号 745
guilty,申し訳なく思う,,[Leap]見出し番号 746
innocent,無実の,,[Leap]見出し番号 747
sincere,誠実な,,[Leap]見出し番号 748
modest,謙虚な,,[Leap]見出し番号 749
stupid,ばかな,,[Leap]見出し番号 750
indifferent,無関心で,,[Leap]見出し番号 751
punctual,時間を守る,,[Leap]見出し番号 752
coward,臆病者,,[Leap]見出し番号 753
precise,正確な,,[Leap]見出し番号 754
accurate,正確な,,[Leap]見出し番号 755
proper,適切な,,[Leap]見出し番号 756
tidy,きちんとした,,[Leap]見出し番号 757
efficient,能率的な,,[Leap]見出し番号 758
reasonable,理にかなった,,[Leap]見出し番号 759
significant,重要な,,[Leap]見出し番号 760
precious,貴重な,,[Leap]見出し番号 761
essential,不可欠な,,[Leap]見出し番号 762
fundamental,根本的な,,[Leap]見出し番号 763
outweigh,に勝る,,[Leap]見出し番号 764
critical,重大な,,[Leap]見出し番号 765
serious,深刻な,,[Leap]見出し番号 766
complex,複雑な,,[Leap]見出し番号 767
complicated,複雑な,,[Leap]見出し番号 768
delicate,繊細な,,[Leap]見出し番号 769
plain,明白な,,[Leap]見出し番号 770
obvious,明白な,,[Leap]見出し番号 771
remarkable,注目すべき,,[Leap]見出し番号 772
outstanding,傑出した,,[Leap]見出し番号 773
various,様々な,,[Leap]見出し番号 774
diversity,多様性,,[Leap]見出し番号 775
sort,種類,,[Leap]見出し番号 776
marvelous,驚くべき,,[Leap]見出し番号 777
active,積極的な,,[Leap]見出し番号 778
positive,前向きな,,[Leap]見出し番号 779
pure,純粋な,,[Leap]見出し番号 780
steady,着実な,,[Leap]見出し番号 781
flexible,柔軟な,,[Leap]見出し番号 782
ripe,熟した,,[Leap]見出し番号 783
stable,安定した,,[Leap]見出し番号 784
negative,否定的な,,[Leap]見出し番号 785
vague,曖昧な,,[Leap]見出し番号 786
weird,変な,,[Leap]見出し番号 787
rough,荒い,,[Leap]見出し番号 788
severe,厳しい,,[Leap]見出し番号 789
passive,受動的な,,[Leap]見出し番号 790
vain,無駄に,,[Leap]見出し番号 791
fake,偽の,,[Leap]見出し番号 792
risky,危険な,,[Leap]見出し番号 793
odd,奇妙な,,[Leap]見出し番号 794
ignorant,無知の,,[Leap]見出し番号 795
contrast,対比,,[Leap]見出し番号 796
valid,妥当な,,[Leap]見出し番号 797
rare,珍しい,,[Leap]見出し番号 798
casual,気楽な,,[Leap]見出し番号 799
Available,手に入る,,[Leap]見出し番号 800
Practical,現実的な,,[Leap]見出し番号 801
Abstract,抽象的な,,[Leap]見出し番号 802
Brand new,新品の,,[Leap]見出し番号 803
Second-hand,中古の,,[Leap]見出し番号 804
Rapid,急速な,,[Leap]見出し番号 805
Urgent,緊急の,,[Leap]見出し番号 806
Shallow,浅い,,[Leap]見出し番号 807
Sharp,急激な,,[Leap]見出し番号 808
Calm,落ち着いた,,[Leap]見出し番号 809
Naked,裸の,,[Leap]見出し番号 810
Independent,独立した,,[Leap]見出し番号 811
Tense,張り詰めた,,[Leap]見出し番号 812
Narrow,狭い,,[Leap]見出し番号 813
Vacant,空いている,,[Leap]見出し番号 814
Vivid,鮮明な,,[Leap]見出し番号 815
Awkward,ぎこちない,,[Leap]見出し番号 816
Objective,客観的な,,[Leap]見出し番号 817
Manual,手を使う,,[Leap]見出し番号 818
Alike,似ている,,[Leap]見出し番号 819
Alien,異質な,,[Leap]見出し番号 820
Tend,する傾向にある,,[Leap]見出し番号 821
Deserve,に値する,,[Leap]見出し番号 822
Fragment,破片,,[Leap]見出し番号 823
Range,範囲,,[Leap]見出し番号 824
Scale,規模,,[Leap]見出し番号 825
Unique,特有の,,[Leap]見出し番号 826
Particular,ある特定の,,[Leap]見出し番号 827
Typical,典型的な,,[Leap]見出し番号 828
General,一般的な,,[Leap]見出し番号 829
Ordinary,平凡な,,[Leap]見出し番号 830
Account,占める,,[Leap]見出し番号 831
Calculate,を計算する,,[Leap]見出し番号 832
Measure,を測る,,[Leap]見出し番号 833
Decline,減る,,[Leap]見出し番号 834
Split,を割る,,[Leap]見出し番号 835
Volume,容積,,[Leap]見出し番号 836
Proportion,比率,,[Leap]見出し番号 837
Dozen,ダース,,[Leap]見出し番号 838
Amount,量,,[Leap]見出し番号 839
Mass,大量,,[Leap]見出し番号 840
Shortage,不足,,[Leap]見出し番号 841
Enormous,莫大な,,[Leap]見出し番号 842
Spare,余分な,,[Leap]見出し番号 843
Arrange,を手配する,,[Leap]見出し番号 844
Adapt,適用する,,[Leap]見出し番号 845
Match,と調和する,,[Leap]見出し番号 846
Fit,に合う,,[Leap]見出し番号 847
Emergency,緊急事態,,[Leap]見出し番号 848
Occasion,場合,,[Leap]見出し番号 849
Accidental,偶然の,,[Leap]見出し番号 850
Current,最新の,,[Leap]見出し番号 851
Temporary,一時的な,,[Leap]見出し番号 852
Permanent,永久的な,,[Leap]見出し番号 853
Previous,前の,,[Leap]見出し番号 854
Former,前者,,[Leap]見出し番号 855
Contemporary,現代の,,[Leap]見出し番号 856
Lately,最近,,[Leap]見出し番号 857
Immediately,すぐに,,[Leap]見出し番号 858
Deadline,締め切り,,[Leap]見出し番号 859
Decade,10年,,[Leap]見出し番号 860
Supply,を供給する,,[Leap]見出し番号 861
Replace,にとって代わる,,[Leap]見出し番号 862
Exchange,を交換する,,[Leap]見出し番号 863
Substitute,代わりにをもちいる,,[Leap]見出し番号 864
Submit,を提出する,,[Leap]見出し番号 865
Alternative,代わりのもの,,[Leap]見出し番号 866
Deliver,を配達する,,[Leap]見出し番号 867
Enclose,を同封する,,[Leap]見出し番号 868
Envelope,封筒,,[Leap]見出し番号 869
Trick,いたずら,,[Leap]見出し番号 870
Load,に,,[Leap]見出し番号 871
Content,中身,,[Leap]見出し番号 872
Household,世帯,,[Leap]見出し番号 873
Good,商品,,[Leap]見出し番号 874
Luxury,高級,,[Leap]見出し番号 875
Credit,クレジットカード,,[Leap]見出し番号 876
Questionnaire,アンケート,,[Leap]見出し番号 877
Reservation,予約,,[Leap]見出し番号 878
Fuss,大騒ぎ,,[Leap]見出し番号 879
Reward,報酬,,[Leap]見出し番号 880
Farewell,別れ,,[Leap]見出し番号 881
Reception,もてなし,,[Leap]見出し番号 882
Portion,一盛り,,[Leap]見出し番号 883
Laundry,洗濯,,[Leap]見出し番号 884
Nap,昼寝,,[Leap]見出し番号 885
Wake,目が覚める,,[Leap]見出し番号 886
Vending machine,自動販売機,,[Leap]見出し番号 887
Grocery,食料雑貨店,,[Leap]見出し番号 888
Appointment,予約,,[Leap]見出し番号 889
Consult,に相談する,,[Leap]見出し番号 890
Register,を登録する,,[Leap]見出し番号 891
Die,を染める,,[Leap]見出し番号 892
Subscribe,定期購読する,,[Leap]見出し番号 893
Guarantee,を保証する,,[Leap]見出し番号 894
Wipe,を拭く,,[Leap]見出し番号 895
Sweep,を掃く,,[Leap]見出し番号 896
Transfer,乗り換える,,[Leap]見出し番号 897
Divorce,離婚する,,[Leap]見出し番号 898
Fate,運命,,[Leap]見出し番号 899
Destiny,運命,,[Leap]見出し番号 900
Flavor,風味,,[Leap]見出し番号 901
Perfume,香り,,[Leap]見出し番号 902
Ingredient,材料,,[Leap]見出し番号 903
Bitter,苦い,,[Leap]見出し番号 904
Aisle,通路,,[Leap]見出し番号 905
Track,足跡,,[Leap]見出し番号 906
District,地区,,[Leap]見出し番号 907
Facility,施設,,[Leap]見出し番号 908
Height,高さ,,[Leap]見出し番号 909
Distant,遠い,,[Leap]見出し番号 910
Locate,に位置している,,[Leap]見出し番号 911
Occupy,を占める,,[Leap]見出し番号 912
Surround,を取り囲む,,[Leap]見出し番号 913
Classical,クラシックの,,[Leap]見出し番号 914
Civilization,文明,,[Leap]見出し番号 915
Heritage,遺産,,[Leap]見出し番号 916
Script,台本,,[Leap]見出し番号 917
Tale,話,,[Leap]見出し番号 918
Literature,文学,,[Leap]見出し番号 919
Tragedy,悲劇,,[Leap]見出し番号 920
Poetry,詩,,[Leap]見出し番号 921
Biography,伝記,,[Leap]見出し番号 922
Term,用語,,[Leap]見出し番号 923
Proverb,ことわざ,,[Leap]見出し番号 924
Dialect,方言,,[Leap]見出し番号 925
Fluent,流暢な,,[Leap]見出し番号 926
Translate,を翻訳する,,[Leap]見出し番号 927
Define,を定義する,,[Leap]見出し番号 928
Interpret,を解釈する,,[Leap]見出し番号 929
Quote,を引用する,,[Leap]見出し番号 930
Literally,文字通りに,,[Leap]見出し番号 931
Indicate,を示す,,[Leap]見出し番号 932
Reveal,を明らかにする,,[Leap]見出し番号 933
Announce,を発表する,,[Leap]見出し番号 934
Broadcast,を放送する,,[Leap]見出し番号 935
Prove,を証明する,,[Leap]見出し番号 936
Advertise,を宣伝する,,[Leap]見出し番号 937
Clarify,を明らかにする,,[Leap]見出し番号 938
Seek,を求める,,[Leap]見出し番号 939
Entertain,を楽しませる,,[Leap]見出し番号 940
Amuse,を楽しませる,,[Leap]見出し番号 941
Attract,を引きつける,,[Leap]見出し番号 942
Fascinate,を魅了する,,[Leap]見出し番号 943
Absorb,に没頭する,,[Leap]見出し番号 944
Fond,好きだ,,[Leap]見出し番号 945
Scare,をおびえさせる,,[Leap]見出し番号 946
Alarm,をぎょっとさせる,,[Leap]見出し番号 947
Amaze,を驚かせる,,[Leap]見出し番号 948
Irritate,をイライラさせる,,[Leap]見出し番号 949
Upset,を動揺させる,,[Leap]見出し番号 950
Puzzle,を当惑させる,,[Leap]見出し番号 951
Confuse,を混乱させる,,[Leap]見出し番号 952
Bore,をうんざりさせる,,[Leap]見出し番号 953
Frustrate,を欲求不満にさせる,,[Leap]見出し番号 954
Disappoint,を失望させる,,[Leap]見出し番号 955
Embarrass,に恥ずかしい思いをさせる,,[Leap]見出し番号 956
Ashamed,恥ずかしい,,[Leap]見出し番号 957
Uneasy,不安な,,[Leap]見出し番号 958
Hesitate,ためらう,,[Leap]見出し番号 959
Reluctant,気が進まない,,[Leap]見出し番号 960
Tremble,震える,,[Leap]見出し番号 961
Boast,自慢する,,[Leap]見出し番号 962
Jelous,嫉妬した,,[Leap]見出し番号 963
Envy,を羨ましく思う,,[Leap]見出し番号 964
Yell,叫ぶ,,[Leap]見出し番号 965
Respect,を尊敬する,,[Leap]見出し番号 966
Despair,絶望,,[Leap]見出し番号 967
Emotion,感情,,[Leap]見出し番号 968
Sympathy,同情,,[Leap]見出し番号 969
Shame,残念なこと,,[Leap]見出し番号 970
Confidence,自信,,[Leap]見出し番号 971
Courage,勇気,,[Leap]見出し番号 972
Passion,情熱,,[Leap]見出し番号 973
Sorrow,悲しみ,,[Leap]見出し番号 974
Ignore,を無視する,,[Leap]見出し番号 975
Offend,を怒らせる,,[Leap]見出し番号 976
Depress,を憂鬱にさせる,,[Leap]見出し番号 977
Owe,のおかげだ,,[Leap]見出し番号 978
Fear,恐怖,,[Leap]見出し番号 979
Method,方法,,[Leap]見出し番号 980
Medium,手段,,[Leap]見出し番号 981
Means,手段,,[Leap]見出し番号 982
Extent,程度,,[Leap]見出し番号 983
Extremely,極度に,,[Leap]見出し番号 984
Total,全体の,,[Leap]見出し番号 985
Largely,大部分は,,[Leap]見出し番号 986
Moderate,適度な,,[Leap]見出し番号 987
Somewhat,幾分,,[Leap]見出し番号 988
Subtle,かすかな,,[Leap]見出し番号 989
Possibly,ひょっとすると,,[Leap]見出し番号 990
Eventually,最終的に,,[Leap]見出し番号 991
Necessarily,必ずしも,,[Leap]見出し番号 992
Frankly,率直に,,[Leap]見出し番号 993
Ironically,皮肉なことに,,[Leap]見出し番号 994
Moreover,その上,,[Leap]見出し番号 995
Otherwise,さもなければ,,[Leap]見出し番号 996
Regardless,無関係に,,[Leap]見出し番号 997
Worth,の価値がある,,[Leap]見出し番号 998
According to,によれば,,[Leap]見出し番号 999
Despite,にもかかわらず,,[Leap]見出し番号 1000
Propose,を提案する,,[Leap]見出し番号 1001
Dismiss,を退ける,,[Leap]見出し番号 1002
Bless,を祝福する,,[Leap]見出し番号 1003
Glory,栄光,,[Leap]見出し番号 1004
Compliment,褒め言葉,,[Leap]見出し番号 1005
Feast,宴会,,[Leap]見出し番号 1006
Declare,を宣言する,,[Leap]見出し番号 1007
Highlight,を強調する,,[Leap]見出し番号 1008
Imply,をほのめかす,,[Leap]見出し番号 1009
Recite,を暗唱する,,[Leap]見出し番号 1010
Ray,光線,,[Leap]見出し番号 1011
Radiation,放射線,,[Leap]見出し番号 1012
Laboratory,研究室,,[Leap]見出し番号 1013
Oxygen,酸素,,[Leap]見出し番号 1014
Molecule,分子,,[Leap]見出し番号 1015
Compound,化合物,,[Leap]見出し番号 1016
Tissue,組織,,[Leap]見出し番号 1017
Cell,細胞,,[Leap]見出し番号 1018
Gene,遺伝子,,[Leap]見出し番号 1019
Substance,物質,,[Leap]見出し番号 1020
Solid,固体の,,[Leap]見出し番号 1021
Satellite,衛星,,[Leap]見出し番号 1022
Orbit,軌道,,[Leap]見出し番号 1023
Launch,を打ち上げる,,[Leap]見出し番号 1024
Attempt,試み,,[Leap]見出し番号 1025
Capacity,能力,,[Leap]見出し番号 1026
Capable,力がある,,[Leap]見出し番号 1027
Attain,を達成する,,[Leap]見出し番号 1028
Desperate,必死の,,[Leap]見出し番号 1029
Dedicate,を捧げる,,[Leap]見出し番号 1030
Pain,苦痛,,[Leap]見出し番号 1031
Strain,負担,,[Leap]見出し番号 1032
Remedy,治療法,,[Leap]見出し番号 1033
Pharmacy,薬局,,[Leap]見出し番号 1034
Physician,医師,,[Leap]見出し番号 1035
Disorder,不調,,[Leap]見出し番号 1036
Pregnant,妊娠した,,[Leap]見出し番号 1037
Clinical,臨床の,,[Leap]見出し番号 1038
Heal,を治す,,[Leap]見出し番号 1039
Infect,に感染させる,,[Leap]見出し番号 1040
Ankle,足首,,[Leap]見出し番号 1041
Thumb,親指,,[Leap]見出し番号 1042
Forehead,額,,[Leap]見出し番号 1043
Chin,顎,,[Leap]見出し番号 1044
Chest,胸,,[Leap]見出し番号 1045
Breast,胸,,[Leap]見出し番号 1046
Lung,肺,,[Leap]見出し番号 1047
Organ,臓器,,[Leap]見出し番号 1048
Vision,視力,,[Leap]見出し番号 1049
Skeleton,骸骨,,[Leap]見出し番号 1050
Sensation,感覚,,[Leap]見出し番号 1051
Code,規定,,[Leap]見出し番号 1052
Agenda,議題,,[Leap]見出し番号 1053
Liberty,自由,,[Leap]見出し番号 1054
Committee,委員会,,[Leap]見出し番号 1055
Humanity,人類,,[Leap]見出し番号 1056
Mankind,人類,,[Leap]見出し番号 1057
Authority,権威,,[Leap]見出し番号 1058
Justice,正義,,[Leap]見出し番号 1059
Insurance,保険,,[Leap]見出し番号 1060
Hardship,苦難,,[Leap]見出し番号 1061
Poverty,貧困,,[Leap]見出し番号 1062
Chaos,大混乱,,[Leap]見出し番号 1063
Isolation,孤立,,[Leap]見出し番号 1064
Region,地域,,[Leap]見出し番号 1065
Proof,証拠,,[Leap]見出し番号 1066
Warranty,保証,,[Leap]見出し番号 1067
Principle,原理,,[Leap]見出し番号 1068
Origin,起源,,[Leap]見出し番号 1069
Setting,環境,,[Leap]見出し番号 1070
Mission,任務,,[Leap]見出し番号 1071
Project,計画,,[Leap]見出し番号 1072
Monument,記念碑,,[Leap]見出し番号 1073
Revolution,革命,,[Leap]見出し番号 1074
Contract,契約,,[Leap]見出し番号 1075
Infrastructure,インフラ,,[Leap]見出し番号 1076
Negotiate,交渉する,,[Leap]見出し番号 1077
Cooperate,協力する,,[Leap]見出し番号 1078
Restore,を回復する,,[Leap]見出し番号 1079
Found,を創立する,,[Leap]見出し番号 1080
Conservative,保守的な,,[Leap]見出し番号 1081
Affair,情勢,,[Leap]見出し番号 1082
Agency,機関,,[Leap]見出し番号 1083
Council,議会,,[Leap]見出し番号 1084
Kingdom,界,,[Leap]見出し番号 1085
Republic,共和国,,[Leap]見出し番号 1086
Empire,帝国,,[Leap]見出し番号 1087
Aid,援助,,[Leap]見出し番号 1088
Reform,改革,,[Leap]見出し番号 1089
Minister,大臣,,[Leap]見出し番号 1090
Parliament,議会,,[Leap]見出し番号 1091
Territory,領土,,[Leap]見出し番号 1092
Poll,世論調査,,[Leap]見出し番号 1093
Fortune,財産,,[Leap]見出し番号 1094
Property,財産,,[Leap]見出し番号 1095
Fund,資金,,[Leap]見出し番号 1096
Stock,株,,[Leap]見出し番号 1097
Labor,労働,,[Leap]見出し番号 1098
Overwork,働きすぎる,,[Leap]見出し番号 1099
Firm,会社,,[Leap]見出し番号 1100
Union,労働組合,,[Leap]見出し番号 1101
Administration,経営,,[Leap]見出し番号 1102
Secretary,秘書,,[Leap]見出し番号 1103
Editor,編集長,,[Leap]見出し番号 1104
Client,依頼人,,[Leap]見出し番号 1105
Recruit,を新規採用する,,[Leap]見出し番号 1106
Basis,基礎,,[Leap]見出し番号 1107
Element,要素,,[Leap]見出し番号 1108
Constitute,を構成する,,[Leap]見出し番号 1109
Unify,を統一する,,[Leap]見出し番号 1110
Combine,を結びつける,,[Leap]見出し番号 1111
Unite,団結する,,[Leap]見出し番号 1112
Link,関連,,[Leap]見出し番号 1113
Relevant,関連のある,,[Leap]見出し番号 1114
Murder,殺人,,[Leap]見出し番号 1115
Arrest,を逮捕する,,[Leap]見出し番号 1116
Prison,刑務所,,[Leap]見出し番号 1117
Vice,犯罪,,[Leap]見出し番号 1118
Witness,目撃者,,[Leap]見出し番号 1119
Bullet,弾丸,,[Leap]見出し番号 1120
Sword,剣,,[Leap]見出し番号 1121
Wound,傷,,[Leap]見出し番号 1122
Triumph,勝利,,[Leap]見出し番号 1123
Military,軍事的な,,[Leap]見出し番号 1124
Strategy,戦略,,[Leap]見出し番号 1125
Conquer,を征服する,,[Leap]見出し番号 1126
Defend,を守る,,[Leap]見出し番号 1127
Dominate,を支配する,,[Leap]見出し番号 1128
Rob,を襲う,,[Leap]見出し番号 1129
Deprive,から奪う,,[Leap]見出し番号 1130
Devastate,を壊滅させる,,[Leap]見出し番号 1131
Crash,激突する,,[Leap]見出し番号 1132
Hazard,危険,,[Leap]見出し番号 1133
Debris,破片,,[Leap]見出し番号 1134
Orphan,孤児,,[Leap]見出し番号 1135
Slave,奴隷,,[Leap]見出し番号 1136
Acquaintance,知人,,[Leap]見出し番号 1137
Merchant,商人,,[Leap]見出し番号 1138
Resident,住民,,[Leap]見出し番号 1139
Crew,乗組員,,[Leap]見出し番号 1140
Chase,を追いかける,,[Leap]見出し番号 1141
Proceed,進む,,[Leap]見出し番号 1142
Fade,褪せる,,[Leap]見出し番号 1143
Dissolve,溶ける,,[Leap]見出し番号 1144
Float,浮かぶ,,[Leap]見出し番号 1145
Sink,沈む,,[Leap]見出し番号 1146
Bounce,跳ねる,,[Leap]見出し番号 1147
Transform,を変える,,[Leap]見出し番号 1148
Shift,転換,,[Leap]見出し番号 1149
Modify,を修正する,,[Leap]見出し番号 1150
Revise,を修正する,,[Leap]見出し番号 1151
Enhance,を向上させる,,[Leap]見出し番号 1152
Lower,を下げる,,[Leap]見出し番号 1153
Voyage,航海,,[Leap]見出し番号 1154
Confirm,を確認する,,[Leap]見出し番号 1155
Ensure,を確実にする,,[Leap]見出し番号 1156
Address,に取り組む,,[Leap]見出し番号 1157
Approach,取り組み方,,[Leap]見出し番号 1158
Resolve,を解決する,,[Leap]見出し番号 1159
Settle,を解決する,,[Leap]見出し番号 1160
Enrich,を豊かにする,,[Leap]見出し番号 1161
Warn,に警告する,,[Leap]見出し番号 1162
Force,に強いる,,[Leap]見出し番号 1163
Appeal,訴える,,[Leap]見出し番号 1164
Applause,拍手,,[Leap]見出し番号 1165
Leap,飛ぶ,,[Leap]見出し番号 1166
Grab,を掴む,,[Leap]見出し番号 1167
Seize,を掴む,,[Leap]見出し番号 1168
Cast,を投げる,,[Leap]見出し番号 1169
Stun,を気絶させる,,[Leap]見出し番号 1170
Illuminate,を照らす,,[Leap]見出し番号 1171
Uncover,を明らかにする,,[Leap]見出し番号 1172
Mend,を修繕する,,[Leap]見出し番号 1173
React,反応する,,[Leap]見出し番号 1174
Endure,に耐える,,[Leap]見出し番号 1175
Bind,を結びつける,,[Leap]見出し番号 1176
Encounter,に偶然出会う,,[Leap]見出し番号 1177
Trace,を探し出す,,[Leap]見出し番号 1178
Undergo,を経験する,,[Leap]見出し番号 1179
Seal,を密閉する,,[Leap]見出し番号 1180
Incorporate,を取り入れる,,[Leap]見出し番号 1181
Emerge,現れる,,[Leap]見出し番号 1182
Unfold,展開する,,[Leap]見出し番号 1183
Derive,由来する,,[Leap]見出し番号 1184
Generate,を生み出す,,[Leap]見出し番号 1185
Possess,を所有している,,[Leap]見出し番号 1186
Retain,を保持する,,[Leap]見出し番号 1187
Secure,を確保する,,[Leap]見出し番号 1188
Capture,を捕らえる,,[Leap]見出し番号 1189
Monitor,を監視する,,[Leap]見出し番号 1190
Investigate,を調査する,,[Leap]見出し番号 1191
Detect,を探知する,,[Leap]見出し番号 1192
Inquiry,調査,,[Leap]見出し番号 1193
Specialize,先攻する,,[Leap]見出し番号 1194
Semester,学期,,[Leap]見出し番号 1195
Biology,生物学,,[Leap]見出し番号 1196
Ecology,生態,,[Leap]見出し番号 1197
Philosophy,哲学,,[Leap]見出し番号 1198
Geography,地理,,[Leap]見出し番号 1199
Institution,機関,,[Leap]見出し番号 1200
Faculty,能力,,[Leap]見出し番号 1201
Intermediate,中級の,,[Leap]見出し番号 1202
Notion,考え,,[Leap]見出し番号 1203
Concept,概念,,[Leap]見出し番号 1204
Meditation,瞑想,,[Leap]見出し番号 1205
Insight,洞察,,[Leap]見出し番号 1206
Caution,用心,,[Leap]見出し番号 1207
Will,意志,,[Leap]見出し番号 1208
Option,選択肢,,[Leap]見出し番号 1209
Prospect,見通し,,[Leap]見出し番号 1210
Cherish,を大切にする,,[Leap]見出し番号 1211
Intend,するつもりだ,,[Leap]見出し番号 1212
Suspect,ではなかろうかと思う,,[Leap]見出し番号 1213
Identify,を特定する,,[Leap]見出し番号 1214
Permit,を許可する,,[Leap]見出し番号 1215
Acknowledge,を認める,,[Leap]見出し番号 1216
Perceive,を認識する,,[Leap]見出し番号 1217
Evaluate,を評価する,,[Leap]見出し番号 1218
Cultivate,を耕す,,[Leap]見出し番号 1219
Shade,日陰,,[Leap]見出し番号 1220
Breeze,そよ風,,[Leap]見出し番号 1221
Desert,砂漠,,[Leap]見出し番号 1222
Fog,霧,,[Leap]見出し番号 1223
Moisture,湿気,,[Leap]見出し番号 1224
Damp,湿った,,[Leap]見出し番号 1225
Path,道,,[Leap]見出し番号 1226
Trail,参道,,[Leap]見出し番号 1227
Stream,小川,,[Leap]見出し番号 1228
Tide,潮,,[Leap]見出し番号 1229
Reef,礁,,[Leap]見出し番号 1230
Habitat,生息地,,[Leap]見出し番号 1231
Volcano,火山,,[Leap]見出し番号 1232
Mine,鉱山,,[Leap]見出し番号 1233
Swallow,ツバメ,,[Leap]見出し番号 1234
Web,巣,,[Leap]見出し番号 1235
Mosquito,蚊,,[Leap]見出し番号 1236
Cattle,牛,,[Leap]見出し番号 1237
Kitten,子猫,,[Leap]見出し番号 1238
Organism,生物,,[Leap]見出し番号 1239
